"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3712","Swaglab Order creation Sauce Labs Backpack,Sauce Labs Fleece Jacket,Sauce Labs Onesie,Sauce Labs Bike Light","chromium","Mon Jul 07 17:24:24 IST 2025","passed","Mon Jul 07 17:24:28 IST 2025","","Swaglab.spec.js","",""
"","3546","Swaglab Order creation Sauce Labs Fleece Jacket,Sauce Labs Bolt T-Shirt,Sauce Labs Bike Light","chromium","Mon Jul 07 17:24:24 IST 2025","passed","Mon Jul 07 17:24:28 IST 2025","","Swaglab.spec.js","",""
